category_id,parent_id,name(en-gb),name(ru-ru),top,columns,sort_order,image_name,date_added,date_modified,seo_keyword,description(en-gb),description(ru-ru),meta_title(en-gb),meta_title(ru-ru),meta_description(en-gb),meta_description(ru-ru),meta_keywords(en-gb),meta_keywords(ru-ru),store_ids,layout,status
5321942,5321764,VentMachine,VentMachine,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ventmachine-18,,,,,,,,,0,,true
5321944,5321764,Vents,Vents,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",vents,,,,,,,,,0,,true
5321945,5321764,Арктос,Арктос,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",arktos,,,,,,,,,0,,true
5321966,5321764,Аэроблок,Аэроблок,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",aeroblok,,,,,,,,,0,,true
5321967,5321764,Бризарт,Бризарт,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",brizart-16,,,,,,,,,0,,true
5322048,5321764,Тион,Тион,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",tion-4,,,,,,,,,0,,true
4951191,4951169,Вентиляторы,Вентиляторы,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",wientiliatory,,,,,,,,,0,,true
5309223,4951191,"Ballu Machine","Ballu Machine",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ballu-machine-6,,,,,,,,,0,,true
5310369,4951191,Korf,Korf,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",korf-6,,,,,,,,,0,,true
5310370,4951191,Lessar,Lessar,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",lessar-50,,,,,,,,,0,,true
5310371,4951191,Ostberg,Ostberg,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ostberg-59,,,,,,,,,0,,true
5310372,4951191,Ruck,Ruck,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ruck-68,,,,,,,,,0,,true
5310373,4951191,Shuft,Shuft,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",shuft-75,,,,,,,,,0,,true
5310374,4951191,Systemair,Systemair,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",systemair-125,,,,,,,,,0,,true
5410070,4951191,"Бытовая приточная вентиляция","Бытовая приточная вентиляция",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",bytowaia-pritotchnaia-wientiliaciia,,,,,,,,,0,,true
5410071,5410070,"Компактные приточно-вытяжные установки","Компактные приточно-вытяжные установки",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",kompaktnyie-pritotchno-wytiaznyie-ustanowki-37,,,,,,,,,0,,true
5410073,5410070,"Приточно-очистительные мультикомплексы","Приточно-очистительные мультикомплексы",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",pritotchno-otchistitielnyie-multikomplieksy,,,,,,,,,0,,true
5410078,5410073,BALLU,BALLU,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ballu-6,,,,,,,,,0,,true
5410075,5410070,"Фильтры для приточно-очистительных мультикомплексов","Фильтры для приточно-очистительных мультикомплексов",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",filtry-dlia-pritotchno-otchistitielnych-multikomplieksow-2,,,,,,,,,0,,true
5410210,5410070,Вентиляторы,Вентиляторы,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",wientiliatory,,,,,,,,,0,,true
5410211,5410210,"Вытяжные бытовые","Вытяжные бытовые",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",wytiaznyie-bytowyie,,,,,,,,,0,,true
5410219,5410211,ELECTROLUX,ELECTROLUX,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",electrolux-52,,,,,,,,,0,,true
5410214,5410210,"Вытяжные осевые","Вытяжные осевые",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",wytiaznyie-osiewyie,,,,,,,,,0,,true
5410220,5410214,"BALLU MACHINE","BALLU MACHINE",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ballu-machine-6,,,,,,,,,0,,true
5410229,5410214,SHUFT,SHUFT,false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",shuft-9,,,,,,,,,0,,true
5410216,5410210,"Канальные для круглых каналов","Канальные для круглых каналов",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",kanalnyie-dlia-kruglych-kanalow,,,,,,,,,0,,true
5410221,5410216,"BALLU MACHINE","BALLU MACHINE",false,1,0,,"2019-01-21 18:39:38","2019-01-21 18:39:38",ballu-machine-13,,,,,,,,,0,,true
