category_id,parent_id,name(en-gb),name(ru-ru),top,columns,sort_order,image_name,date_added,date_modified,seo_keyword,description(en-gb),description(ru-ru),meta_title(en-gb),meta_title(ru-ru),meta_description(en-gb),meta_description(ru-ru),meta_keywords(en-gb),meta_keywords(ru-ru),store_ids,layout,status
cid_5321478,cid_4951191,Шумоизолированные,Шумоизолированные,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5321479,cid_5321478,"Lessar 51","Lessar 51",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",lessar-51,,,,,,,,,0,,true
cid_5350546,cid_5321478,"Ostberg 100","Ostberg 100",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ostberg-100,,,,,,,,,0,,true
cid_5350547,cid_5321478,"Ruck 47","Ruck 47",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ruck-47,,,,,,,,,0,,true
cid_5350548,cid_5321478,"Shuft 29","Shuft 29",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",shuft-29,,,,,,,,,0,,true
cid_5363026,cid_5321478,"Systemair 30","Systemair 30",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-30,,,,,,,,,0,,true
cid_5362859,cid_4951191,"Канальные вентиляторы для круглых каналов","Канальные вентиляторы для круглых каналов",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362861,cid_5362859,"Ballu Machine 3","Ballu Machine 3",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-3,,,,,,,,,0,,true
cid_5362863,cid_5362859,"Korf 6","Korf 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-6,,,,,,,,,0,,true
cid_5362864,cid_5362859,"Lessar 58","Lessar 58",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",lessar-58,,,,,,,,,0,,true
cid_5362906,cid_5362859,"Ostberg 58","Ostberg 58",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ostberg-58,,,,,,,,,0,,true
cid_5362908,cid_5362859,"Ruck 68","Ruck 68",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ruck-68,,,,,,,,,0,,true
cid_5362932,cid_5362859,"Shuft 75","Shuft 75",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",shuft-75,,,,,,,,,0,,true
cid_5362955,cid_5362859,"Systemair 27","Systemair 27",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-27,,,,,,,,,0,,true
cid_5362862,cid_4951191,"Канальные вентиляторы для прямоугольных каналов","Канальные вентиляторы для прямоугольных каналов",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362865,cid_5362862,"Ballu Machine 13","Ballu Machine 13",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-13,,,,,,,,,0,,true
cid_5362866,cid_5362862,"Korf 42","Korf 42",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-42,,,,,,,,,0,,true
cid_5363010,cid_5362862,"Lessar 22","Lessar 22",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",lessar-22,,,,,,,,,0,,true
cid_5363012,cid_5362862,"Ostberg 62","Ostberg 62",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ostberg-62,,,,,,,,,0,,true
cid_5363014,cid_5362862,"Ruck 23","Ruck 23",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ruck-23,,,,,,,,,0,,true
cid_5362945,cid_4951191,"Вентиляторы дымоудаления","Вентиляторы дымоудаления",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362947,cid_5362945,"Systemair 35","Systemair 35",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-35,,,,,,,,,0,,true
cid_5362951,cid_4951191,"Взрывозащищенные вентиляторы","Взрывозащищенные вентиляторы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362952,cid_5362951,"Ostberg 12","Ostberg 12",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ostberg-12,,,,,,,,,0,,true
cid_5362958,cid_5362951,"Systemair 27","Systemair 27",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-27,,,,,,,,,0,,true
cid_5362953,cid_4951191,"Крышные вентиляторы","Крышные вентиляторы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362959,cid_5362953,"Ballu Machine 5","Ballu Machine 5",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-5,,,,,,,,,0,,true
cid_5362963,cid_5362953,"Korf 14","Korf 14",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-14,,,,,,,,,0,,true
cid_5363890,cid_5362953,"Lessar 63","Lessar 63",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",lessar-63,,,,,,,,,0,,true
cid_5363922,cid_5362953,"Ostberg 21","Ostberg 21",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ostberg-21,,,,,,,,,0,,true
